分行业情况,,,,,,,
分行业,"成本构成
项目",本期金额,"本期占
总成本
比例
(%)",上年同期金额,"上年同
期占总
成本比
例(%)","本期金
额较上
年同期
变动比
例(%)","情况
说明"
畜牧业,畜牧产品,"160,141,310.06",18.17,"96,775,467.43",13.15,65.48,
食品加工业,食品加工,"566,065,944.66",64.23,"507,371,312.11",68.93,11.57,
餐饮业,餐饮服务,"51,054,338.97",5.79,"62,288,940.04",8.46,-18.04,
殡葬业,"墓位销管
殡葬服务","36,690,722.49",4.16,"21,092,975.96",2.87,73.95,
生态农业,农作物,"67,350,456.84",7.65,"48,601,505.83",6.59,38.58,
合计,,"881,302,773.02",100.00,"736,130,201.37",100.00,19.72,
分产品情况,,,,,,,
分产品,"成本构成
项目",本期金额,"本期占
总成本
比例
(%)",上年同期金额,"上年同
期占总
成本比
例(%)","本期金
额较上
年同期
变动比
例(%)","情况
说明"
畜牧产品,畜牧产品,"160,141,310.06",18.17,"96,775,467.43",13.15,65.48,
