预收账款,"27,891,554.89",1.05,"28,418,499.32",1.09,-1.85,
合同负债,"4,679,624.36",0.18,"4,904,370.09",0.19,-4.58,
应付职工薪酬,"21,471,394.64",0.81,"24,998,365.15",0.96,-14.11,
应交税费,"9,709,626.08",0.37,"7,175,971.56",0.28,35.31,
其他应付款,"100,603,191.41",3.80,"124,325,623.05",4.78,-19.08,
"一年内到期的非
流动负债","7,094,372.74",0.27,"6,322,262.44",0.24,12.21,
其他流动负债,"1,020,158.94",0.04,"1,366,227.31",0.05,-25.33,
长期借款,"99,800,000.00",3.77,0.00,0.00,100.00,
预计负债,"12,975,309.10",0.49,"13,050,408.41",0.50,-0.58,
递延收益,"26,464,552.70",1.00,"22,524,973.72",0.87,17.49,
递延所得税负债,"4,645,021.54",0.18,"5,446,968.07",0.21,-14.72,
租赁负债,"22,637,555.05",0.86,"31,743,498.74",1.22,-28.69,
负债合计,"435,370,498.15",16.46,"419,217,955.22",16.12,3.85,
