"任职人
员姓名",其他单位名称,"在其他单
位担任的
职务",任期起始日期,"任期
终止
日期"
李良,三河金鼎典当有限责任公司,董事,2017 年4 月14 日,/
李良,三河市和鑫汽车销售有限公司,执行董事,2017 年4 月26 日,/
李良,大厂万福盛商贸有限公司,执行董事,2017 年5 月19 日,/
李良,廊坊鼎润投资股份有限公司,董事长,2017 年6 月19 日,/
李良,大厂回族自治县润景园林绿化工程有限公司,执行董事,2018 年8 月21 日,/
李良,河北盈讯网络工程有限公司,监事,2021 年9 月28 日,/
李良,三河德煜商贸有限公司,执行董事,2023 年4 月3 日,/
李良,兴隆县瑞良门窗生产安装有限公司,执行董事,2015 年12 月16 日,/
李良,三河市北海金伦房地产开发有限公司,执行董事,2024 年2 月19 日,/
郑建军,三河市大有会计服务有限公司,执行董事,2017 年1 月1 日,/
郑建军,三河市建辰税务师事务所有限公司,执行董事,2019 年9 月1 日,/
韩晶华,河北京拓律师事务所,主任,2016 年3 月5 日,/
刘建玲,河北农业大学,教授,1984 年7 月1 日,/
陆宇建,南开大学,副教授,2004 年12 月1 日,/
康金龙,河北王洪波律师事务所,专职律师,2010 年11 月1 日,/
"在其他
单位任
职情况
的说明",无,,,
