前十名股东持股情况（不含通过转融通出借股份）,,,,,,,
"股东名称
（全称）","报告期内
增减","期末持股数
量","比例
(%)","持有有
限售条
件股份
数量","质押、标记或
冻结情况",,股东性质
,,,,,"股份状
态",数量,
"福成投资集
团有限公司",0,"282,510,774",34.51,0,无,,境内非国有法人
李福成,0,"129,953,825",15.87,0,无,,境内自然人
"三河福生投
资有限公司",0,"73,795,393",9.01,0,无,,境内非国有法人
李高生,0,"17,656,737",2.16,0,无,,境内自然人
张雪春,0,"12,761,939",1.56,0,无,,境内自然人
田桂军,"-466,900","11,017,281",1.35,0,无,,境内自然人
滕再生,"344,400","10,330,834",1.26,0,无,,境内自然人
王金良,"-53,000","8,206,368",1.00,0,无,,境内自然人
王晓玮,"953,746","6,526,426",0.80,0,无,,境内自然人
钱卫国,0,"5,886,986",0.72,0,无,,境内自然人
前十名无限售条件股东持股情况（不含通过转融通出借股份）,,,,,,,
股东名称,,持有无限售条件流通股的数量,,,股份种类及数量,,
,,,,,种类,,数量
福成投资集团有限公司,,"282,510,774",,,人民币普通股,,"282,510,774"
李福成,,"129,953,825",,,人民币普通股,,"129,953,825"
三河福生投资有限公司,,"73,795,393",,,人民币普通股,,"73,795,393"
李高生,,"17,656,737",,,人民币普通股,,"17,656,737"
张雪春,,"12,761,939",,,人民币普通股,,"12,761,939"
田桂军,,"11,017,281",,,人民币普通股,,"11,017,281"
滕再生,,"10,330,834",,,人民币普通股,,"10,330,834"
王金良,,"8,206,368",,,人民币普通股,,"8,206,368"
王晓玮,,"6,526,426",,,人民币普通股,,"6,526,426"
钱卫国,,"5,886,986",,,人民币普通股,,"5,886,986"
"前十名股东中回购专户
情况说明",,无,,,,,
"上述股东委托表决权、
受托表决权、放弃表决
权的说明",,无,,,,,
"上述股东关联关系或一
致行动的说明",,"上述前十名无限售条件股东中福成投资集团有限公司与李福成、李
高生、三河福生投资有限公司是一致行动人，与其他股东无关联关
系。公司未知上述其他股东之间是否存在关联关系或者属于《上市
公司收购管理办法》规定的一致行动人。",,,,,
"表决权恢复的优先股股
东及持股数量的说明",,无,,,,,
