项目,附注,2025 年12 月31 日,2024 年12 月31 日
流动资产：,,,
货币资金,七、1,"237,877,538.24","96,613,370.71"
结算备付金,,,
拆出资金,,,
交易性金融资产,七、2,,
衍生金融资产,七、3,,
应收票据,七、4,"267,628.76","355,646.99"
应收账款,七、5,"57,304,728.99","82,303,854.74"
应收款项融资,七、7,,
预付款项,七、8,"9,147,750.55","8,327,371.73"
应收保费,,,
应收分保账款,,,
应收分保合同准备金,,,
其他应收款,七、9,"16,033,881.45","30,341,150.61"
其中：应收利息,,,
应收股利,,,
买入返售金融资产,,,
存货,七、10,"1,035,101,443.10","928,096,499.06"
其中：数据资源,,,
合同资产,,,
持有待售资产,七、11,,
一年内到期的非流动资产,七、12,,"61,853.79"
其他流动资产,七、13,"20,250,321.98","19,980,010.14"
流动资产合计,,"1,375,983,293.07","1,166,079,757.77"
非流动资产：,,,
发放贷款和垫款,,,
债权投资,七、14,,
其他债权投资,七、15,,
长期应收款,七、16,,
长期股权投资,七、17,,
其他权益工具投资,七、18,,
其他非流动金融资产,七、19,"2,294,942.40","1,290,905.10"
投资性房地产,七、20,,
固定资产,七、21,"867,098,822.70","903,486,731.24"
在建工程,七、22,"8,462,426.81","8,462,426.81"
生产性生物资产,七、23,"126,072,991.69","193,702,054.52"
油气资产,七、24,,
使用权资产,七、25,"32,301,810.23","38,522,857.82"
无形资产,七、26,"22,552,307.50","23,172,301.46"
