项目,附注,2025年度,2024年度
一、经营活动产生的现金流量：,,,
销售商品、提供劳务收到的现金,,"1,141,584,383.19","1,086,981,535.11"
"客户存款和同业存放款项净增加
额",,,
向中央银行借款净增加额,,,
"向其他金融机构拆入资金净增加
额",,,
收到原保险合同保费取得的现金,,,
收到再保业务现金净额,,,
保户储金及投资款净增加额,,,
收取利息、手续费及佣金的现金,,,
拆入资金净增加额,,,
回购业务资金净增加额,,,
代理买卖证券收到的现金净额,,,
收到的税费返还,,,394.32
收到其他与经营活动有关的现金,七、78,"42,969,365.50","41,758,076.98"
经营活动现金流入小计,,"1,184,553,748.69","1,128,740,006.41"
购买商品、接受劳务支付的现金,,"669,805,578.22","722,026,912.29"
客户贷款及垫款净增加额,,,
"存放中央银行和同业款项净增加
额",,,
支付原保险合同赔付款项的现金,,,
拆出资金净增加额,,,
支付利息、手续费及佣金的现金,,,
支付保单红利的现金,,,
支付给职工及为职工支付的现金,,"192,099,946.13","185,598,259.34"
支付的各项税费,,"47,111,437.88","46,685,676.38"
支付其他与经营活动有关的现金,七、78,"61,563,363.67","70,756,753.12"
经营活动现金流出小计,,"970,580,325.90","1,025,067,601.13"
经营活动产生的现金流量净额,,"213,973,422.79","103,672,405.28"
二、投资活动产生的现金流量：,,,
收回投资收到的现金,,"54,700,000.00","15,000,000.00"
取得投资收益收到的现金,,"2,700.00","1,775.69"
"处置固定资产、无形资产和其他
长期资产收回的现金净额",,"14,745.00","1,121,539.00"
"处置子公司及其他营业单位收到
的现金净额",,,
收到其他与投资活动有关的现金,七、78,,
投资活动现金流入小计,,"54,717,445.00","16,123,314.69"
"购建固定资产、无形资产和其他
长期资产支付的现金",,"102,645,502.27","164,785,009.08"
