项目,2025 年度,,,,,,,,,,,,,,
,归属于母公司所有者权益,,,,,,,,,,,,,"少数股东权
益",所有者权益合计
,"实收资本(或股
本)",其他权益工具,,,资本公积,"减
：
库
存
股","其他
综合
收益","专项
储备",盈余公积,"一般
风险
准备",未分配利润,"其
他",小计,,
,,"优
先
股","永
续
债","其
他",,,,,,,,,,,
"一、上年年末余
额","818,700,955.00",,,,"297,670,902.07",,,,"163,740,934.73",,"872,723,896.78",,"2,152,836,688.58","28,992,205.88","2,181,828,894.46"
"加：会计政策变
更",,,,,,,,,,,,,,,
"前期差错更
正",,,,,,,,,,,,,,,
其他,,,,,,,,,,,,,,,
"二、本年期初余
额","818,700,955.00",,,,"297,670,902.07",,,,"163,740,934.73",,"872,723,896.78",,"2,152,836,688.58","28,992,205.88","2,181,828,894.46"
"三、本期增减变
动金额（减少以
“－”号填列）",,,,,,,,,"11,847,450.60",,"14,002,192.85",,"25,849,643.45","1,505,059.35","27,354,702.80"
"（一）综合收益
总额",,,,,,,,,,,"56,942,009.37",,"56,942,009.37","1,505,059.35","58,447,068.72"
"（二）所有者投
入和减少资本",,,,,,,,,,,,,,,
"1．所有者投入
的普通股",,,,,,,,,,,,,,,
"2．其他权益工
具持有者投入资
本",,,,,,,,,,,,,,,
