项目,2025 年度,,,,,,,,,,
,"实收资本 (或股
本)",其他权益工具,,,资本公积,"减：
库存
股","其他综
合收益","专项
储备",盈余公积,未分配利润,所有者权益合计
,,优先股,永续债,其他,,,,,,,
一、上年年末余额,"818,700,955.00",,,,"564,733,657.74",,,,"144,845,555.25","585,387,533.23","2,113,667,701.22"
加：会计政策变更,,,,,,,,,,,
前期差错更正,,,,,,,,,,,
其他,,,,,,,,,,,
二、本年期初余额,"818,700,955.00",,,,"564,733,657.74",,,,"144,845,555.25","585,387,533.23","2,113,667,701.22"
"三、本期增减变动金
额（减少以“－”号填
列）",,,,,,,,,"11,847,450.6","75,534,689.46","87,382,140.06"
（一）综合收益总额,,,,,,,,,,"118,474,505.98","118,474,505.98"
"（二）所有者投入和
减少资本",,,,,,,,,,,
"1．所有者投入的普通
股",,,,,,,,,,,
"2．其他权益工具持有
者投入资本",,,,,,,,,,,
"3．股份支付计入所有
者权益的金额",,,,,,,,,,,
4．其他,,,,,,,,,,,
（三）利润分配,,,,,,,,,"11,847,450.6","-42,939,816.52","-31,092,365.92"
1．提取盈余公积,,,,,,,,,"11,847,450.6","-11,847,450.60",
"2．对所有者（或股
东）的分配",,,,,,,,,,"-31,092,365.92","-31,092,365.92"
3．其他,,,,,,,,,,,
"（四）所有者权益内
部结转",,,,,,,,,,,
