项目,期末余额,,,期初余额,,
,账面余额,跌价准备,账面价值,账面余额,跌价准备,账面价值
土地成本,"233,367,715.56","167,021,561.95","66,346,153.61","234,060,582.03","166,837,796.54","67,222,785.49"
前期费用,"5,399,047.24",,"5,399,047.24","5,463,273.86",,"5,463,273.86"
建设工程费用,"206,395,669.61",,"206,395,669.61","209,446,621.17",,"209,446,621.17"
地下管道,"3,504,445.18",,"3,504,445.18","3,564,511.51",,"3,564,511.51"
绿化景观,"8,017,355.25",,"8,017,355.25","8,107,812.60",,"8,107,812.60"
资本化利息,"6,811,970.94",,"6,811,970.94","6,928,728.29",,"6,928,728.29"
迁坟费等其他,"1,778,527.73",,"1,778,527.73","1,809,011.51",,"1,809,011.51"
未完工墓穴建设款,"403,755.19",,"403,755.19","337,428.44",,"337,428.44"
合 计,"465,678,486.70","167,021,561.95","298,656,924.75","469,717,969.41","166,837,796.54","302,880,172.87"
