项目,"种植
业",,畜牧养殖业,,林业,,水产业,,合计
,"类
别","类
别",成熟性繁殖牛,"类
别","类
别","类
别","类
别","类
别",
一、账面原值,,,,,,,,,
1.期初余额,,,"271,246,162.68",,,,,,"271,246,162.68"
2.本期增加金额,,,"18,472,567.90",,,,,,"18,472,567.90"
（1）外购,,,"411,000.00",,,,,,"411,000.00"
（2）自行培育,,,,,,,,,
(3)消耗性生物资产转入,,,"18,061,567.9",,,,,,"18,061,567.9"
3.本期减少金额,,,"110,810,337.40",,,,,,"110,810,337.40"
（1）处置,,,,,,,,,
"（2）转入消耗性生
物资产",,,"110,810,337.40",,,,,,"110,810,337.40"
4.期末余额,,,"178,908,393.18",,,,,,"178,908,393.18"
二、累计折旧,,,,,,,,,
1.期初余额,,,"77,544,108.16",,,,,,"77,544,108.16"
2.本期增加金额,,,"26,808,326.15",,,,,,"26,808,326.15"
（1）计提,,,"26,808,326.15",,,,,,"26,808,326.15"
3.本期减少金额,,,"51,517,032.82",,,,,,"51,517,032.82"
（1）处置,,,,,,,,,
"（2）转入消耗性生
物资产",,,"51,517,032.82",,,,,,"51,517,032.82"
4.期末余额,,,"52,835,401.49",,,,,,"52,835,401.49"
三、减值准备,,,,,,,,,
1.期初余额,,,,,,,,,
2.本期增加金额,,,,,,,,,
（1）计提,,,,,,,,,
3.本期减少金额,,,,,,,,,
（1）处置,,,,,,,,,
