项目,房屋及建筑物,合计
一、账面原值,,
1.期初余额,"62,921,465.43","62,921,465.43"
2.本期增加金额,"3,106,815.93","3,106,815.93"
（1）租入,"3,106,815.93","3,106,815.93"
（2）其他,,
3.本期减少金额,"4,175,523.89","4,175,523.89"
（1）其他减少,"4,175,523.89","4,175,523.89"
4.期末余额,"61,852,757.47","61,852,757.47"
二、累计折旧,,
1.期初余额,"24,398,607.61","24,398,607.61"
2.本期增加金额,"7,006,272.43","7,006,272.43"
（1）计提,"7,006,272.43","7,006,272.43"
（2）其他,,
3.本期减少金额,"1,853,932.80","1,853,932.80"
（1）处置,"1,853,932.80","1,853,932.80"
4.期末余额,"29,550,947.24","29,550,947.24"
三、减值准备,,
