项目,期初余额,本期增加,本期减少,期末余额
"一、工资、奖金、津贴和
补贴","17,445,961.51","176,360,345.14","179,846,895.99","13,959,410.66"
二、职工福利费,"105,304.00","3,397,617.38","3,478,355.38","24,566.00"
三、社会保险费,"1,186,182.60","4,902,745.84","4,890,242.14","1,198,686.30"
其中：医疗保险费,"977,779.45","4,366,265.41","4,353,761.71","990,283.15"
工伤保险费,"139,992.51","500,780.43","500,780.43","139,992.51"
生育保险费,"68,410.64",,,"68,410.64"
大病互助,,"35,700.00","35,700.00",
四、住房公积金,"166,746.00","27,000.00","27,000.00","166,746.00"
"五、工会经费和职工教育
经费","2,169,810.42","35,954.16","37,023.47","2,168,741.11"
六、短期带薪缺勤,,,,
七、短期利润分享计划,,,,
合计,"21,074,004.53","184,723,662.52","188,279,516.98","17,518,150.07"
