补充资料,本期金额,上期金额
1．将净利润调节为经营活动现金流量：,,
净利润,"58,447,068.72","55,806,420.22"
加：资产减值准备,"4,021,791.24","7,371,789.78"
信用减值损失,"14,249.14","32,858.87"
"固定资产折旧、油气资产折耗、生
产性生物资产折旧","83,991,133.19","91,431,092.59"
使用权资产摊销,"7,006,272.43","14,303,495.27"
无形资产摊销,"1,036,323.24","1,132,271.53"
长期待摊费用摊销,"77,507,059.78","66,913,052.16"
"处置固定资产、无形资产和其他长
期资产的损失（收益以“－”号填
列）","6,403.45","2,743,597.55"
"固定资产报废损失（收益以“－”号
填列）","98,991.40","1,440,384.37"
"公允价值变动损失（收益以“－”号
填列）","-1,004,037.30","245,431.34"
财务费用（收益以“－”号填列）,"4,677,450.81","4,071,954.36"
投资损失（收益以“－”号填列）,"765,835.49","-1,242,230.91"
"递延所得税资产减少（增加以“－”
号填列）","824,767.49","4,723,100.97"
"递延所得税负债增加（减少以“－”
号填列）","-801,946.53","-5,792,495.95"
存货的减少（增加以“－”号填列）,"-125,949,660.08","-72,949,619.13"
"经营性应收项目的减少（增加以
“－”号填列）","38,341,704.78","-8,700,309.59"
"经营性应付项目的增加（减少以
“－”号填列）","64,990,015.54","-57,858,388.15"
其他,,
经营活动产生的现金流量净额,"213,973,422.79","103,672,405.28"
2．不涉及现金收支的重大投资和筹资活动：,,
债务转为资本,,
