其他关联方名称,其他关联方与本企业关系
福成投资集团有限公司,母公司
三河福成商贸有限公司,母公司的控股子公司
三河市福旺矿业石材有限公司,母公司的控股子公司
三河市永兴水泥制品有限公司,母公司的控股子公司
三河市福成瑞恒现代农业科技发展有限公司,母公司的控股子公司
三河市金天地生态农业专业合作社,母公司的控股子公司
河北福成房地产开发有限公司,母公司的全资子公司
福成国际大酒店有限公司,母公司的全资子公司
三河市隆盛物业服务有限公司,母公司的全资子公司
三河市惠安物业服务有限公司,母公司的全资子公司
三河市多福园物业服务有限公司,母公司的全资子公司
三河福盛物业服务有限公司,母公司的全资子公司
三河福兴物业服务有限公司,母公司的全资子公司
三河隆福物业服务有限公司,母公司的全资子公司
三河市福宏建筑设备租赁有限公司,母公司的全资子公司
河北联福房地产开发有限公司,母公司的全资孙公司
三河燕山福成娱乐有限公司,母公司的全资子公司
大厂万福盛商贸有限公司,母公司的全资子公司
澳大利亚福成投资集团有限公司,母公司的全资子公司
福成澳大利亚投资控股有限公司,母公司的全资子公司
三河福生投资有限公司,股东
三河市一福一城物业服务有限公司,股东的控股子公司
三河市一福一城电子商务有限公司,股东的控股子公司
三河福成酿酒有限公司,股东的全资子公司
河北盛唐机械制造有限公司,股东的全资子公司
三河市润成小额贷款有限公司,其他
三河金鼎典当有限责任公司,其他
三河市福英投资有限公司,其他
三河市兴隆运输有限公司,其他
三河市福成隆泰水泥有限公司,其他
三河市泊利科技小额贷款有限公司,其他
三河市泰德房地产开发有限公司,其他
三河市利思机械制造有限公司,其他
三河市润旭房地产开发有限公司,其他
三河明德数字信息有限公司,其他
承德隆泰房地产开发有限公司,其他
兴隆县福成新型建材有限公司,其他
兴隆县福成水泥有限公司,其他
大厂回族自治县润景园林绿化工程有限公司,其他
承德鑫隆房地产开发有限公司,其他
承德永和水泥有限责任公司,其他
三河市和鑫汽车销售有限公司,其他
