关联方,关联交易内容,本期发生额,上期发生额
河北福成房地产开发有限公司,销售商品/提供劳务,"22,771.42","433,858.34"
福成国际大酒店有限公司,销售商品/提供劳务,"967,106.34","7,291,374.46"
三河福成酿酒有限公司,销售商品/提供劳务,,69.69
三河市兴隆运输有限公司,销售商品/提供劳务,"74,617.78","285,300.88"
三河市润成小额贷款有限公司,销售商品/提供劳务,"9,321.70","12,025.47"
三河市和鑫汽车销售有限公司,销售商品/提供劳务,"14,540.94","17,797.44"
三河市永兴水泥制品有限公司,销售商品/提供劳务,"215,215.11","319,687.82"
三河市晟良门窗生产安装有限公司,销售商品/提供劳务,"71,188.70","19,874.31"
三河市泊利科技小额贷款有限公司,销售商品/提供劳务,,"1,355.05"
兴隆县福成新型建材有限公司,销售商品/提供劳务,"134,107.26","410,459.24"
三河市一福一城物业服务有限公司,销售商品/提供劳务,"748,517.58","397,656.24"
三河市一福一城电子商务有限公司,销售商品/提供劳务,"1,615,706.05","1,495,277.70"
三河市福成一福一城俱乐部有限公司,销售商品/提供劳务,"430,381.06","451,951.62"
北京市润成典当有限责任公司,销售商品/提供劳务,,"2,472.78"
三河市润堂科技小额贷款有限公司,销售商品/提供劳务,,"2,668.35"
三河市勇润建筑工程有限公司,销售商品/提供劳务,"164,812.19","559,405.98"
三河市友邻网络科技有限公司,销售商品/提供劳务,"88,928.17","55,639.46"
