类别,期末余额,,,,,期初余额,,,,
,账面余额,,坏账准备,,"账面
价值",账面余额,,坏账准备,,"账面
价值"
,金额,比例(%),金额,"计提比
例(%)",,金额,比例(%),金额,"计提比
例(%)",
"按单项计提坏
账准备","5,391,360.26",8.25,"5,391,360.26",100,0.00,"4,812,209.61",4.37,"4,812,209.61",100.00,0.00
其中：,,,,,,,,,,
"单项计提坏账
准备的应收账
款","5,391,360.26",8.25,"5,391,360.26",100,0.00,"4,812,209.61",4.37,"4,812,209.61",100.00,0.00
"按组合计提坏
账准备","59,949,693.28",91.75,"3,102,871.02",5.18,"56,846,822.26","105,302,348.26",95.63,"3,545,859.85",3.37,"101,756,488.41"
其中：,,,,,,,,,,
"按账龄特征组
合","55,236,149.29",84.54,"3,102,871.02",5.62,"52,133,278.27","80,058,251.17",72.70,"3,545,859.85",4.43,"76,512,391.32"
"按关联方特征
组合","4,713,543.99",7.21,,,"4,713,543.99","25,244,097.09",22.93,,,"25,244,097.09"
合计,"65,341,053.54",/,"8,494,231.28",/,"56,846,822.26","110,114,557.87",/,"8,358,069.46",/,"101,756,488.41"
