项目,金额,说明
"非流动性资产处置损益，包括已计提资产减值
准备的冲销部分","-871,230.34",
"计入当期损益的政府补助，但与公司正常经营
业务密切相关、符合国家政策规定、按照确定
的标准享有、对公司损益产生持续影响的政府
补助除外","2,993,384.27",详见：十一、政府补助
"除同公司正常经营业务相关的有效套期保值业
务外，非金融企业持有金融资产和金融负债产
生的公允价值变动损益以及处置金融资产和金
融负债产生的损益","1,004,037.30",
"计入当期损益的对非金融企业收取的资金占用
费",,
委托他人投资或管理资产的损益,,
对外委托贷款取得的损益,,
"因不可抗力因素，如遭受自然灾害而产生的各
项资产损失",,
单独进行减值测试的应收款项减值准备转回,"432,681.13",
"企业取得子公司、联营企业及合营企业的投资
成本小于取得投资时应享有被投资单位可辨认
净资产公允价值产生的收益",,
"同一控制下企业合并产生的子公司期初至合并
日的当期净损益",,
非货币性资产交换损益,,
债务重组损益,"-302,769.99",
"企业因相关经营活动不再持续而发生的一次性
费用，如安置职工的支出等",,
"因税收、会计等法律、法规的调整对当期损益
产生的一次性影响",,
"因取消、修改股权激励计划一次性确认的股份
支付费用",,
"对于现金结算的股份支付，在可行权日之后，
应付职工薪酬的公允价值变动产生的损益",,
"采用公允价值模式进行后续计量的投资性房地
产公允价值变动产生的损益",,
交易价格显失公允的交易产生的收益,,
"与公司正常经营业务无关的或有事项产生的损
益",,
受托经营取得的托管费收入,,
除上述各项之外的其他营业外收入和支出,"-3,265,374.60",
其他符合非经常性损益定义的损益项目,"16,127.87",
减：所得税影响额,"1,079,812.01",
少数股东权益影响额（税后）,"494,051.00",
合计,"-1,567,007.37",
